seq,ts_ist,topic,agent,detail
1062,09:08:31.130,connection.status,connection,upstox DISCONNECTED
1091,09:08:33.038,connection.status,connection,upstox CONNECTING
1107,09:08:33.393,connection.status,connection,upstox CONNECTING
1497,09:08:51.918,connection.status,connection,upstox CONNECTED
2867,09:09:51.857,connection.status,connection,groww DISCONNECTED
2914,09:09:54.116,connection.status,connection,groww CONNECTING
3005,09:10:00.033,connection.status,connection,groww CONNECTED
3006,09:10:00.033,feed.reconnect,watchdog,feed.reconnect (broker switch → groww)
3024,09:10:00.366,connection.status,connection,groww CONNECTED
11987,09:16:37.233,feed.reconnect,watchdog,feed.reconnect (index switch → BANKNIFTY)
12030,09:16:38.867,feed.reconnect,watchdog,feed.reconnect (index switch → NIFTY)
12398,09:16:54.728,feed.reconnect,watchdog,feed.reconnect (broker switch → upstox)
12450,09:16:57.163,connection.status,connection,groww DISCONNECTED
12492,09:16:58.678,feed.reconnect,watchdog,feed.reconnect (broker switch → upstox)
12610,09:17:03.932,connection.status,connection,upstox CONNECTED
12664,09:17:06.728,window.rebuilt,strike,NIFTY center 0 (1 keys)
12704,09:17:07.984,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
12705,09:17:07.984,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 0.0
12794,09:17:11.795,feed.reconnect,watchdog,feed.reconnect (stale 5s)
13161,09:17:28.068,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
13163,09:17:28.068,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
13466,09:17:41.998,feed.reconnect,watchdog,feed.reconnect (stale 19s)
13846,09:17:58.084,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
13847,09:17:58.084,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
14166,09:18:12.155,feed.reconnect,watchdog,feed.reconnect (stale 19s)
14175,09:18:13.117,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
14177,09:18:13.117,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
14842,09:18:42.408,feed.reconnect,watchdog,feed.reconnect (stale 30s)
14851,09:18:43.197,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
14852,09:18:43.197,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
15506,09:19:12.626,feed.reconnect,watchdog,feed.reconnect (stale 30s)
15527,09:19:13.240,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
15529,09:19:13.248,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
16194,09:19:42.833,feed.reconnect,watchdog,feed.reconnect (stale 30s)
16201,09:19:43.264,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
16202,09:19:43.264,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
16872,09:20:12.965,feed.reconnect,watchdog,feed.reconnect (stale 30s)
17213,09:20:28.306,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
17214,09:20:28.306,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
17543,09:20:43.294,feed.reconnect,watchdog,feed.reconnect (stale 20s)
17642,09:20:48.297,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
17657,09:20:48.299,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
18203,09:21:13.561,feed.reconnect,watchdog,feed.reconnect (stale 30s)
18538,09:21:28.381,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
18539,09:21:28.381,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
18878,09:21:43.893,feed.reconnect,watchdog,feed.reconnect (stale 19s)
18989,09:21:48.474,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
18990,09:21:48.474,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
19567,09:22:14.041,feed.reconnect,watchdog,feed.reconnect (stale 30s)
19664,09:22:18.512,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
19665,09:22:18.512,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
20247,09:22:44.165,feed.reconnect,watchdog,feed.reconnect (stale 30s)
20343,09:22:48.625,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
20344,09:22:48.625,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
20881,09:23:14.616,feed.reconnect,watchdog,feed.reconnect (stale 30s)
20979,09:23:19.846,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
20980,09:23:19.849,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
21525,09:23:45.182,feed.reconnect,watchdog,feed.reconnect (stale 30s)
21620,09:23:49.984,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
21622,09:23:49.985,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
22168,09:24:15.414,feed.reconnect,watchdog,feed.reconnect (stale 30s)
22486,09:24:30.042,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
22488,09:24:30.042,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
22805,09:24:46.343,feed.reconnect,watchdog,feed.reconnect (stale 19s)
22891,09:24:50.093,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
22893,09:24:50.093,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
23479,09:25:16.879,feed.reconnect,watchdog,feed.reconnect (stale 30s)
23552,09:25:20.224,candle.closed,candle,NSE_INDEX|NIFTY O0 H0 L0 C0 V1
23553,09:25:20.224,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
